START: HEAP 244772
PROCESSING: CHARS 11435, TIME 15503ms
1: 14 - 38, 14 - 14, count=1
2: 2 - 10, 3 - 55, count=2
3: 36 - 90, 36 - 46, count=3
4: 9 - 97, 8 - 87, count=4
5: 75 - 92, 51 - 92, count=5
6: 6 - 82, 1 - 83, count=6
7: 21 - 79, 29 - 80, count=7
8: 26 - 66, 27 - 27, count=8
9: 11 - 32, 11 - 32, count=9
10: 6 - 90, 91 - 91, count=9
11: 36 - 78, 21 - 65, count=10
12: 66 - 66, 23 - 66, count=11
13: 22 - 23, 22 - 95, count=12
14: 3 - 82, 3 - 35, count=13
15: 1 - 92, 93 - 93, count=13
16: 1 - 96, 1 - 1, count=14
17: 12 - 54, 9 - 53, count=15
18: 80 - 98, 4 - 80, count=16
19: 7 - 63, 3 - 63, count=17
20: 2 - 2, 2 - 21, count=18
21: 33 - 95, 85 - 94, count=19
22: 60 - 60, 60 - 80, count=20
23: 76 - 97, 96 - 98, count=21
24: 1 - 98, 2 - 2, count=22
25: 69 - 96, 68 - 98, count=23
26: 63 - 84, 63 - 63, count=24
27: 24 - 31, 23 - 28, count=25
28: 16 - 71, 40 - 70, count=26
29: 30 - 63, 64 - 64, count=26
30: 20 - 61, 64 - 77, count=26
31: 57 - 90, 17 - 58, count=27
32: 57 - 58, 12 - 58, count=28
33: 10 - 74, 10 - 74, count=29
34: 14 - 65, 64 - 72, count=30
35: 95 - 99, 8 - 90, count=30
36: 26 - 46, 45 - 75, count=31
37: 18 - 66, 17 - 19, count=32
38: 21 - 56, 21 - 21, count=33
39: 42 - 75, 70 - 74, count=34
40: 5 - 46, 45 - 47, count=35
41: 20 - 79, 20 - 79, count=36
42: 1 - 99, 2 - 99, count=37
43: 16 - 31, 17 - 30, count=38
44: 10 - 30, 8 - 9, count=38
45: 1 - 99, 1 - 99, count=39
46: 51 - 91, 50 - 97, count=40
47: 18 - 39, 18 - 39, count=41
48: 9 - 97, 4 - 9, count=42
49: 5 - 76, 6 - 6, count=43
50: 88 - 92, 88 - 89, count=44
51: 11 - 91, 19 - 92, count=45
52: 70 - 74, 2 - 42, count=45
53: 65 - 93, 94 - 94, count=45
54: 10 - 96, 9 - 95, count=46
55: 8 - 40, 6 - 35, count=47
56: 3 - 11, 12 - 12, count=47
57: 17 - 88, 17 - 89, count=48
58: 8 - 41, 7 - 9, count=49
59: 9 - 60, 60 - 66, count=50
60: 56 - 86, 86 - 87, count=51
61: 58 - 67, 58 - 86, count=52
62: 14 - 90, 7 - 90, count=53
63: 3 - 82, 2 - 81, count=54
64: 54 - 56, 20 - 55, count=55
65: 2 - 88, 4 - 87, count=56
66: 5 - 79, 6 - 6, count=57
67: 95 - 95, 19 - 95, count=58
68: 37 - 94, 38 - 94, count=59
69: 2 - 12, 2 - 36, count=60
70: 9 - 46, 46 - 47, count=61
71: 58 - 80, 66 - 81, count=62
72: 96 - 98, 1 - 97, count=63
73: 72 - 85, 84 - 85, count=64
74: 52 - 55, 52 - 61, count=65
75: 74 - 76, 6 - 75, count=66
76: 1 - 65, 2 - 88, count=67
77: 22 - 58, 22 - 58, count=68
78: 29 - 97, 30 - 96, count=69
79: 3 - 5, 5 - 62, count=70
80: 2 - 89, 2 - 72, count=71
81: 20 - 62, 69 - 76, count=71
82: 63 - 66, 62 - 65, count=72
83: 18 - 20, 19 - 35, count=73
84: 17 - 88, 17 - 87, count=74
85: 14 - 99, 13 - 98, count=75
86: 46 - 84, 46 - 81, count=76
87: 4 - 98, 3 - 5, count=77
88: 3 - 76, 75 - 75, count=78
89: 84 - 92, 91 - 95, count=79
90: 38 - 83, 4 - 83, count=80
91: 4 - 53, 5 - 77, count=81
92: 58 - 86, 58 - 74, count=82
93: 21 - 97, 96 - 97, count=83
94: 7 - 7, 7 - 34, count=84
95: 9 - 38, 9 - 36, count=85
96: 29 - 43, 43 - 78, count=86
97: 56 - 97, 55 - 56, count=87
98: 89 - 90, 9 - 89, count=88
99: 4 - 47, 48 - 88, count=88
100: 23 - 58, 58 - 76, count=89
101: 5 - 55, 32 - 55, count=90
102: 34 - 48, 41 - 45, count=91
103: 98 - 98, 44 - 99, count=92
104: 14 - 92, 48 - 92, count=93
105: 22 - 96, 23 - 98, count=94
106: 25 - 43, 73 - 95, count=94
107: 71 - 79, 72 - 77, count=95
108: 74 - 94, 93 - 95, count=96
109: 14 - 90, 89 - 89, count=97
110: 5 - 32, 4 - 99, count=98
111: 4 - 58, 4 - 59, count=99
112: 4 - 96, 4 - 4, count=100
113: 62 - 83, 54 - 84, count=101
114: 66 - 67, 67 - 68, count=102
115: 25 - 42, 25 - 42, count=103
116: 13 - 79, 12 - 78, count=104
117: 4 - 65, 2 - 92, count=105
118: 4 - 65, 3 - 4, count=106
119: 6 - 83, 7 - 82, count=107
120: 74 - 76, 41 - 75, count=108
121: 3 - 62, 61 - 62, count=109
122: 10 - 39, 11 - 30, count=110
123: 19 - 93, 3 - 42, count=111
124: 25 - 25, 11 - 26, count=112
125: 37 - 52, 53 - 77, count=112
126: 3 - 97, 97 - 98, count=113
127: 22 - 67, 23 - 77, count=114
128: 47 - 96, 35 - 35, count=114
129: 25 - 84, 23 - 25, count=115
130: 6 - 86, 86 - 86, count=116
131: 62 - 62, 48 - 62, count=117
132: 41 - 95, 42 - 95, count=118
133: 12 - 75, 13 - 76, count=119
134: 7 - 69, 6 - 70, count=120
135: 78 - 91, 35 - 78, count=121
136: 17 - 80, 79 - 81, count=122
137: 49 - 77, 50 - 78, count=123
138: 96 - 99, 20 - 97, count=124
139: 7 - 9, 8 - 78, count=125
140: 85 - 86, 58 - 87, count=126
141: 8 - 8, 8 - 80, count=127
142: 17 - 66, 43 - 67, count=128
143: 48 - 60, 22 - 65, count=129
